,killing,physical_harm,non_physical_harm,intending_harm,deception,manipulation,promises,stealing,trespassing,spying,vandalism,fairness,other,self_harm,others_harm,physical_power,money,influence,safe_achievements,unsafe_achievements
i-cyborg,0.02126211940806259,0.04178715200997903,0.030617451947610147,0.03305550830640137,0.0702500425242388,0.021432216363327088,0.00793785791234337,0.023643476781765607,0.0061801893746101936,0.016952996541361915,0.018313772183477905,0.017349889436979068,0.008278051822872374,1498.4999999999995,4108804.3333333344,260663459.0,162519500.0,1339555.3333333333,44.0,-32.0
kidnapped,0.014997070884592857,0.05852372583479791,0.06291739894551843,0.05114235500878732,0.05934387814879906,0.026947861745752776,0.0018746338605741069,0.009724663151728177,0.00691271236086702,0.00492091388400703,0.012419449326303457,0.036321031048623324,0.001991798476859988,743.3333333333334,28432.333333333347,4604712.0,48303000.0,2686232.6666666665,20.0,-6.0
kung-fu,0.022046925566343044,0.12965210355987047,0.019417475728155335,0.03944174757281554,0.027305825242718452,0.007483818770226538,0.0008090614886731391,0.0046521035598705495,0.013956310679611648,0.003236245954692557,0.01516990291262136,0.027508090614886738,0.002022653721682848,365.6666666666667,5012524.333333333,17718201.0,57105500.0,1020394.3333333335,16.0,-4.0
luminous-underground,0.014445271779597906,0.043186895011168965,0.018118639861007698,0.02030280466617026,0.020054604120129053,0.005261851576073468,0.0007942417473318441,0.002134524695954331,0.0042194092827004225,0.0021841648051625713,0.014097791015140231,0.004318689501116902,0.0005460412012906429,1949.1666666666667,12588586.666666666,106471830.0,29942500.0,2033836.3333333333,24.0,-3.0
metahuman-inc,0.017939814814814818,0.05709876543209877,0.04591049382716052,0.032696759259259245,0.06659915123456793,0.03385416666666668,0.013213734567901234,0.015528549382716047,0.003761574074074074,0.021412037037037042,0.009548611111111112,0.035204475308641965,0.003472222222222223,1013.3333333333337,31873739.33333333,86856644.201,396307000.0,17579172.33333333,15.0,-5.0
midsummer-nights-choice,0.005433409148344705,0.02754612079858479,0.056355825120040406,0.015668435683598686,0.11220621683093257,0.04245640636846096,0.0069497093757897406,0.010361384887541064,0.00530705079605762,0.009982309830679808,0.01162496841041193,0.01794288602476623,0.0026535253980288095,747.3333333333336,122668.66666666666,9335478.001,41087000.0,692817.0000000005,33.0,-8.0
mysteries-of-baroque,0.028138528138528143,0.07099567099567103,0.039826839826839835,0.05137085137085134,0.053246753246753244,0.034487734487734484,0.0040404040404040395,0.017460317460317464,0.03463203463203464,0.015295815295815297,0.021067821067821072,0.009668109668109666,0.006926406926406928,629.6666666666667,11432710.333333332,48674764.0,113295000.0,4503684.333333333,27.0,-17.0
pendragon-rising,0.02954209748892173,0.07951747907434763,0.024864598719842444,0.031429509272936154,0.025521089775151815,0.008370260955194485,0.002133595929755457,0.005908419497784342,0.0032824552765468567,0.0018053504021007714,0.0018053504021007714,0.021171836533727232,0.00016412276382734285,588.3333333333334,42181.66666666666,6394844.0,82858500.0,17490.33333333334,23.0,-5.0
ratings-war,0.002145347278090641,0.01340842048806651,0.037275408956824886,0.009117725931885224,0.10378117457763475,0.041297935103244844,0.015553767766157146,0.005899705014749263,0.024403325288281038,0.035666398498256896,0.0,0.028694019844462328,0.006972378653794582,360.66666666666663,3004499.9999999995,1410335.0,22357000.0,24353940.000000004,22.0,-5.0
sea-eternal,0.023241865347128497,0.05360623781676412,0.011845853951117105,0.018893387314439937,0.02361673414304994,0.006597690808217123,0.002174239016344279,0.003148897885739991,0.004498425551057129,0.002249212775528565,0.008921877342929973,0.010046483730694255,0.004048582995951416,977.3333333333336,2487395.833333333,32478460.0,117209000.0,70096.66666666664,25.0,-3.0
seventh-sea-a-pirates-pact,0.01850424055512721,0.09599074787972237,0.04086353122590595,0.034952454381906986,0.06245181187355438,0.02582883577486507,0.00603957851452069,0.01362117707530198,0.024029812387561036,0.002698535080956052,0.009123618607041892,0.02133127730660499,0.0029555384219994863,618.6666666666667,2581846.0,21374766.0,67234000.0,20201.666666666668,10.0,-15.0
slammed,0.0008969341161121983,0.1627527723418134,0.04509132420091326,0.02535877364644485,0.037181996086105694,0.008887801696020875,0.004647749510763208,0.003016960208741031,0.0017123287671232876,0.0007338551859099804,0.005626223091976517,0.026826484018264842,0.0008153946510110894,1094.6666666666665,724246.0000000005,6508799.0,15236500.0,3623419.333333334,29.0,-27.0
t-rex-time-machine,0.024978306681542092,0.0476013387876534,0.01933804388248419,0.03167224494855582,0.02603198214949796,0.011528449237634807,0.0007437709185570844,0.007809594644849388,0.004710549150861535,0.013883723813065574,0.00607412916821619,0.013759761993306061,0.0006198090987975703,953.9999999999998,8517.666666666666,68298530.5,56015500.0,5017539.666666666,31.0,-3.0
tower-behind-the-moon,0.0533467539003523,0.10677738634457304,0.025079684616675056,0.0382486160040262,0.0221439355812783,0.0359000167757088,0.001929206508975004,0.0116591175977185,0.008807247106190236,0.009646032544875024,0.022479449756752232,0.006542526421741317,0.0019292065089750036,1055.166666666667,4857186.16666667,360770010.0,266812000.0,4385889.000000002,21.0,-9.0
trials-of-the-thief-taker,0.006630824372759855,0.05053763440860216,0.04404121863799282,0.03145161290322579,0.06715949820788528,0.03561827956989246,0.007258064516129032,0.022043010752688167,0.01164874551971326,0.012096774193548388,0.005913978494623656,0.04211469534050177,0.015770609318996417,741.3333333333334,120350.0,4758333.0,45961500.0,1027548.666666667,24.0,-16.0
undercover-agent,0.012267343485617596,0.08135927805978566,0.04385222786238014,0.029187817258883256,0.14791314156796403,0.06979695431472085,0.017202481669486746,0.07825719120135365,0.06570783981951496,0.053863508178228985,0.03327693175408913,0.014382402707275798,0.009729272419627752,666.6666666666665,4035.666666666665,13883146.0,85140000.0,2074.3333333333326,18.0,-6.0
vampire-the-masquerade_parliament-of-knives,0.029207484579899457,0.12268698491680924,0.03677499611257972,0.050743793085575056,0.072928004975898,0.040584668014305735,0.00767117607422381,0.010107292800497592,0.013035816099103306,0.015212771471518168,0.008915150572746592,0.01959259835173377,0.002021458560099518,2011.1666666666663,17022.666666666675,29308746.009999998,206803000.0,8703.666666666668,36.0,-22.0
versus-deathscapes,0.015312632922160776,0.056429887990925846,0.0092159364809301,0.017297603856514965,0.02353608393591379,0.013469445625974765,0.0046788600595491295,0.0017014036580178648,0.00184318729618602,0.0028356727633631076,0.004962427335885439,0.010208421948107187,0.0004253509145044662,477.99999999999994,5038871.5,83781003.0,94023000.0,8369369.333333333,66.0,-5.0
versus-the-lost-ones,0.010602205258693808,0.0712468193384224,0.024597116200169633,0.03774385072094996,0.04410517387616625,0.0267175572519084,0.002120441051738762,0.013358778625954196,0.0016963528413910093,0.007845631891433419,0.005937234944868533,0.016539440203562336,0.0016963528413910093,443.0,16314.333333333338,43993877.0,26430000.0,335412.33333333326,50.0,-17.0
werewolves-haven-rising,0.03504300732717425,0.09525326537113724,0.03291918870128491,0.0495911649145163,0.04693639163215463,0.021025804396304547,0.002123818625889349,0.011999575236274826,0.027397260273972598,0.011681002442391423,0.011150047785919083,0.016459594350642447,0.0018052458320059466,1199.0000000000005,28852.833333333343,5335399.0,128897000.0,20820.66666666666,34.0,-9.0
